language,x,y,label
Swahili,737440.0,0.0,New Edits
Swahili,737441.0,0.0,New Edits
Swahili,737442.0,0.0,New Edits
Swahili,737443.0,0.0,New Edits
Swahili,737444.0,0.0,New Edits
Swahili,737445.0,0.0,New Edits
Swahili,737446.0,0.0,New Edits
Swahili,737447.0,0.0,New Edits
Swahili,737448.0,0.0,New Edits
Swahili,737449.0,0.0,New Edits
Swahili,737450.0,0.0,New Edits
Swahili,737451.0,0.0,New Edits
Swahili,737452.0,0.0,New Edits
Swahili,737453.0,0.0,New Edits
Swahili,737454.0,0.0,New Edits
Swahili,737455.0,0.0011152714928772587,New Edits
Swahili,737456.0,0.007272483675113138,New Edits
Swahili,737457.0,0.03693271954327591,New Edits
Swahili,737458.0,0.14607173937976448,New Edits
Swahili,737459.0,0.449932632788314,New Edits
Swahili,737460.0,1.0793322767454572,New Edits
Swahili,737461.0,2.016458162755817,New Edits
Swahili,737462.0,2.9339293147465058,New Edits
Swahili,737463.0,3.324577464412416,New Edits
Swahili,737464.0,2.9339293147465058,New Edits
Swahili,737465.0,2.016458162755817,New Edits
Swahili,737466.0,1.0793322767454572,New Edits
Swahili,737467.0,0.449932632788314,New Edits
Swahili,737468.0,0.14718701087264174,New Edits
Swahili,737469.0,0.04420520321838905,New Edits
Swahili,737454.0,0.0,Global Event
English,737440.0,0.3106881858009868,New Edits
English,737441.0,0.3553192922393598,New Edits
English,737442.0,0.4598937784267406,New Edits
English,737443.0,0.6470907560950512,New Edits
English,737444.0,0.9321154167960143,New Edits
English,737445.0,1.3066545374847585,New Edits
English,737446.0,1.7335751365254466,New Edits
English,737447.0,2.15305525162396,New Edits
English,737448.0,2.487515960985464,New Edits
English,737449.0,2.6489615309155283,New Edits
English,737450.0,2.576943845312263,New Edits
English,737451.0,2.297865076316704,New Edits
English,737452.0,1.9332076245915935,New Edits
English,737453.0,1.622717140931274,New Edits
English,737454.0,1.4371697531572352,New Edits
English,737455.0,1.3639805020073692,New Edits
English,737456.0,1.353450259058169,New Edits
English,737457.0,1.360333381742406,New Edits
English,737458.0,1.35344469440552,New Edits
English,737459.0,1.3125725727856135,New Edits
English,737460.0,1.2296207866618505,New Edits
English,737461.0,1.111136006994439,New Edits
English,737462.0,0.9769992667604002,New Edits
English,737463.0,0.8538899012591435,New Edits
English,737464.0,0.766465026772902,New Edits
English,737465.0,0.7294807043229716,New Edits
English,737466.0,0.7418784143066005,New Edits
English,737467.0,0.7848483000404505,New Edits
English,737468.0,0.8303729212847721,New Edits
English,737469.0,0.8571373557195723,New Edits
English,737454.0,1.4371697531572352,Global Event
Chinese,737440.0,0.6494784249303944,New Edits
Chinese,737441.0,0.9649274256051955,New Edits
Chinese,737442.0,1.711044420192718,New Edits
Chinese,737443.0,2.9698653473527505,New Edits
Chinese,737444.0,4.580087019279347,New Edits
Chinese,737445.0,6.0705072360478916,New Edits
Chinese,737446.0,6.899938516551112,New Edits
Chinese,737447.0,6.840956986703722,New Edits
Chinese,737448.0,6.108330977938917,New Edits
Chinese,737449.0,5.098862312327924,New Edits
Chinese,737450.0,4.074382476215769,New Edits
Chinese,737451.0,3.118283319386335,New Edits
Chinese,737452.0,2.278951988945591,New Edits
Chinese,737453.0,1.6365598890599706,New Edits
Chinese,737454.0,1.248870778023705,New Edits
Chinese,737455.0,1.1051902927207227,New Edits
Chinese,737456.0,1.1440830646964297,New Edits
Chinese,737457.0,1.288261785470037,New Edits
Chinese,737458.0,1.4591724712949832,New Edits
Chinese,737459.0,1.5839475591363381,New Edits
Chinese,737460.0,1.6124552891663626,New Edits
Chinese,737461.0,1.533810436494624,New Edits
Chinese,737462.0,1.3742727042661531,New Edits
Chinese,737463.0,1.178474626675771,New Edits
Chinese,737464.0,0.9914140028264811,New Edits
Chinese,737465.0,0.8486511877961959,New Edits
Chinese,737466.0,0.7690019759243605,New Edits
Chinese,737467.0,0.7473039518593514,New Edits
Chinese,737468.0,0.7577585758904009,New Edits
Chinese,737469.0,0.7713148182108969,New Edits
Chinese,737454.0,1.248870778023705,Global Event
Russian,737440.0,0.004696557386917595,New Edits
Russian,737441.0,0.014542302647318563,New Edits
Russian,737442.0,0.04483428623811931,New Edits
Russian,737443.0,0.1181093091516156,New Edits
Russian,737444.0,0.2658643295400285,New Edits
Russian,737445.0,0.5127861856047365,New Edits
Russian,737446.0,0.8481640738378017,New Edits
Russian,737447.0,1.2066565645536742,New Edits
Russian,737448.0,1.4899011704718554,New Edits
Russian,737449.0,1.6259196015512705,New Edits
Russian,737450.0,1.615549953202369,New Edits
Russian,737451.0,1.5218028768965266,New Edits
Russian,737452.0,1.4158194751910675,New Edits
Russian,737453.0,1.3300603496615109,New Edits
Russian,737454.0,1.2515056273823155,New Edits
Russian,737455.0,1.1493157996167922,New Edits
Russian,737456.0,1.0091709967717502,New Edits
Russian,737457.0,0.8483844449627569,New Edits
Russian,737458.0,0.7037964792456831,New Edits
Russian,737459.0,0.6072441440431899,New Edits
Russian,737460.0,0.5702552226307915,New Edits
Russian,737461.0,0.5850157726772575,New Edits
Russian,737462.0,0.6327265313114414,New Edits
Russian,737463.0,0.6939361543911327,New Edits
Russian,737464.0,0.7593724268716655,New Edits
Russian,737465.0,0.8343386395236543,New Edits
Russian,737466.0,0.9300293348877885,New Edits
Russian,737467.0,1.0462960990218315,New Edits
Russian,737468.0,1.1600676692498866,New Edits
Russian,737469.0,1.2323186341354813,New Edits
Russian,737454.0,1.2515056273823155,Global Event
